bandu	gismu	bad			x_1 は x_2 （物／状態）を x_3 （危険／脅威／可能性）から保護／守護する；x_1 は x_3 にたいして防御する	「lo dikca dertu jorne cu bandu fi lo dikca jenca／アースは感電を防ぐ」 保護 	{ckape}, {fanta}, {fapro}, {marbi}, {rivbi}, {zunti}, {snura}, {binra}, {lunbe}, {pulji}
banfi	gismu				x_1 は x_2 （種類）の両性綱／両生類動物	「so'o se banfi jai za'o na cirko lo fipfepri lo nu makcu binxo／ある種の両生類は成熟しても鰓を失わない」 両生類 	{danlu}, {respa}
bangu	gismu	ban	bau		x_1 は x_2 （使用者）が x_3 （概念／命題／文字列）を表すのに用いる言語；x_2 は x_1 語を話す	「.e'o lo jbobau ko bangu／ロジバンを使ってください」 言語 	{tance}, {cusku}, {ve} {tavla}, {valsi}, {gerna}, {jufra}, {natmi}, {slaka}
banli	gismu	bal	ba'i		x_1 は x_2 （性質）に関して x_3 （基準）で偉大／壮大／尊大	「barda」が客観的な大きさを表すのたいし、「banli」は主観的な大きさ。「la al,lax. cu banli／アッラーフは偉大なり」 偉大 	{barda}, {nobli}, {se} {sinma}, {pluja}, {misno}, {vajni}, {fasnu}, {cizra}, {traji}, {mutce}, {se} {manci}
banro	gismu	ba'o			x_1 は x_2 （結果）に x_3 （始原）から育つ／育成する／成長する	「le spati cu banro ri'a lo nu do djacu dunda／あなたが水やりをするので、その植物が育つ」 育つ 	{farvi}, {zenba}, {jmina}, {barda}, {makcu}, {ferti}
banxa	gismu	bax			x_1 は x_2 （金融体系）・ x_3 （機能）の銀行	x2 は経営者も。「bu'u le banxa lo jdini cu se tolse'a／その銀行でお金を引き出す」 銀行 	{sorcu}, {zarci}, {canja}, {kagni}
banzu	gismu	baz			x_1 は x_2 （目的）に関して x_3 （条件）において足りる／充分	「lo nanba na banzu lo nu lo remna cu jmive／人はパンのみにて生くるにあらず」 充分 	{dukse}, {claxu}, {nitcu}, {ricfu}, {curmi}
bapli	gismu	bap	bai		x_1 （性質／力）は x_2 （事）を引き起こす／もたらす	「danre」と違い、物理的とは限らない。x1は作用力／抑制力も。「le vi verba zo'u lo smadi bapli cu barda／この子は洞察力がある」 力 	{fanta}, {rinju}, {jimte}, {jitro}, {rinka}, {krinu}, {zukte}, {randa}, {danre}, {bai}, {marxa}, {tinsa}, {xarnu}
barda	gismu	bra			x_1 は x_2 （性質）に関して、 x_3 （比較対象）の中で大きい	x3は群れでも集合でもよい。；「lo'i ratcu cu barda／鼠の集合は大きい、鼠はたくさんいる」「le barda naje cmalu ba'ambyta'e cu se dunda pe'u／大きいつづらではなく、小さいつづらをください」 大きい 	{banli}, {clani}, {ganra}, {condi}, {plana}, {cmalu}, {rotsu}, {banro}, {xanto}
bargu	gismu	bag			x_1 は x_2 に掛かる／を縁取る x_3 （素材）のアーチ	「lo bargu cripu cu ve klama／太鼓橋を渡る」 アーチ 	{cripu}, {kruvi}, {korcu}, {condi}
barja	gismu				x_1 は x_2 （品）を x_3 （客）に提供する酒場／居酒屋／バー／パブ	「ko jo'u mi bu'u lo barja cu pinxe／一緒に酒場で飲もう」 酒場 	{gusta}, {birje}, {jikru}, {sanmi}, {vanju}, {xotli}, {ckafi}, {se} {pinxe}
barna	gismu	ba'a			x_1 は x_2 に有る印／斑点	［様式を伴うものは ba'armo'a。］「ko catke lo xunre barna／赤い印を押してください」 印 	{sinxa}, {pixra}, {se} {ciska}, {se} {prina}
bartu	gismu	bar			x_1 は x_2 の外／外部／外側	「lo bartu be lo zdani cu lenku／家の外は寒い（＝ lenku ne'inai lo zdani ）」 外部 	{jibni}, {nenri}, {sruri}, {lamji}, {korbi}, {calku}, {vasru}
basna	gismu				x_1 は x_2 （対象）を x_3 で強調する	「ko sepi'o lo kalkrecinta cu basna lo kanla be do／マスカラで目元を強調してください」 強調 	{pandi}
basti	gismu	bas			x_1 は x_2 （対象）と、 x_3 （状況）において交替する；x_2 を x_1 が代理する	元々あるのが x2 で、これと置き換わるのがx1 「.e'u ra citka lo brioco sei basti be lo nanba noi na zvati／パンが無ければブリオッシュを食べればいいじゃない」 (Jean-Jacques Rousseau: Les Confessions, Livre VI; 試験的 cmavo の ko'oi の例文も参照) 交替 	{ba'i}, {binra}
batci	gismu	bat			x_1 は x_2 （対象本体）・ x_3 （対象箇所）を x_4 で噛む	「lo te batci be fa lo since co'a punli／蛇に噛まれたところが腫れてきた」 噛む 	{denci}, {jgalu}, {guska}, {citka}
batke	gismu				x_1 は x_2 （本体／機材）・ x_3 （用途）・ x_4 （素材）のボタン／ノブ／スイッチ／つまみ／取っ手	ボタン 	{jadni}, {balji}, {punji}, {jgari}, {lasna}
bavmi	gismu				x_1 は x_2 （品種）のオオムギ粒	大麦 	{gurni}
baxso	gismu				x_1 は x_2 （性質面）に関してマレー・インドネシア系（言語／文化／民族／地理）	バハサ 	{meljo}, {bindo}
bebna	gismu	beb			x_1 は x_2 （性質）に関して愚か／ばかげている／思慮が無い；x_1 は阿呆／馬鹿	「fi lo sevzi ka bebna cu klaku je klaku .ei／自分の愚劣に泣け、泣け」（山頭火『行乞記（二）』） 愚か 	{fenki}, {xajmi}, {prije}, {fliba}
bemro	gismu	bem	be'o		x_1 は x_2 （性質面）に関して北アメリカ系（言語／文化／民族／地理）	北アメリカ 	{merko}, {kadno}, {xispo}, {mexno}
bende	gismu	bed	be'e		x_1 は x_2 （者達）・ x_3 （引率者）からなる、 x_4 （目的）のための仲間／チーム／乗組員／バンド／班	仲間 	{gunma}, {girzu}, {dansu}, {jatna}, {jitro}, {kagni}, {kamni}, {minde}, {ralju}, {cecmu}, {gidva}
bengo	gismu	beg			x_1 は x_2 （性質面）に関してベンガル／バングラデシュ系（言語／文化／民族／地理）	バングラデシュ 	{xindo}
benji	gismu	bej	be'i		x_1 は x_2 を x_3 （受け手）に x_4 （起源／送信元）から x_5 （方法／媒体）によって送る／届ける	［起源からの完全な断絶は含意されず、 x2 の共有状態がありえる。］ 送る 	{muvdu}, {dunda}, {mrilu}, {nirna}, {xruti}, {cradi}, {tivni}, {preja}, {be'i}, {bevri}, {mrilu}, {tcana}
bersa	gismu	bes	be'a		x_1 は x_2 （親）の息子	実の／生物学的な息子に限らない。 息子 	{verba}, {nanla}, {nakni}, {nanmu}, {patfu}, {mamta}, {bruna}, {rirni}, {rorci}, {panzi}, {tixnu}
berti	gismu	ber			x_1 は x_2 にたいして x_3 （照合枠）で北方／北側	北 	{snanu}, {stici}, {stuna}, {farna}
besna	gismu	ben			x_1 は x_2 （本体）の脳	脳 	{menli}, {stedu}, {rango}, {pensi}
betfu	gismu	bef	be'u		x_1 は x_2 （本体）の腹／胴部	腹 	{cutne}, {livga}, {canti}
betri	gismu	bet			x_1 は x_2 にとって悲劇／災難／惨事	悲劇 	{badri}, {xlali}, {morsi}, {binra}
bevri	gismu	bev	bei		x_1 は x_2 （荷）を x_3 （終点）に x_4 （始点）から x_5 （道筋）を通って運ぶ	「benji」と違い、 x2 はx4から断絶している。 運ぶ 	{marce}, {muvdu}, {benji}, {klama}
bidju	gismu				x_1 は x_2 （素材）の数珠／ビーズ	数珠 	{bolci}, {canre}, {lakse}, {dirgo}
bifce	gismu	bic			x_1 は x_2 （種類）のハチ目昆虫	蜂 	{manti} (下位概念) < {cinki} (上位概念), {sfani}, {lakse}
bikla	gismu	bik			x_1 はビュッと動く／パチッとする	鞭の動き、泡立て器の動きなど、急激な動きを表す。 鞭 	{skori}, {darxi}
bilga	gismu	big			x_1 は x_2 （行為）を x_3 （協定／契約／常識）のために遂行する義務を負っている；x_1 は x_2 をしなければならない	義務 	{zifre}, {fuzme}
bilma	gismu	bi'a			x_1 は x_2 （症状）の x_3 （病）を患っている	「risna terbi'a／心臓病」「sudga selbi'a／脱水症」 患う 	{kanro}, {mikce}, {spita}, {senci}, {kafke}, {binra}
bilni	gismu	bil			x_1 は x_2 （体系）・ x_3 （目的）のために訓練されている編制組織	「jenmi」は狭義的に「軍」を表すのにたいし、「bilni」は特定の困難／問題に効果的に対処できるよう厳格に訓練／編制されている組織全般を表す。よって「軍」よりも範囲が広い。 編制組織 	{jenmi}, {sonci}, {ganzu}, {pulji}
bindo	gismu	bid			x_1 は x_2 （性質面）に関してインドネシア系（言語／文化／民族／地理）	インドネシア 	{bindo}, {meljo}, {baxso}
binra	gismu				x_1 は x_2 （者）を x_3 （危険／損害）にたいして x_4 （特典）で保証／保障／補償する	「保険」も。 保証 	{bandu}, {cirko}, {betri}, {basti}, {bilma}
binxo	gismu	bix	bi'o		x_1 は x_2 に x_3 （条件）の下で成る／変身する	「.ei binxo lo ka'e frili pilno be lo ka stace .e lo ka lazni／正直と横着とが自由自在に使へるやうにならなければならない」（山頭火『行乞記（二）』） 成る 	{cenba}, {galfi}, {stika}; {zasni}
birje	gismu				x_1 は x_2 （起源）の発泡酒／ビール／エール	発泡酒 	{pinxe}, {barja}, {jikru}, {vanju}, {xalka}, {fusra}
birka	gismu	bir			x_1 は x_2 （本体）の腕	腕 	{jimca} (上位概念), {janco}, {xance}, {rebla}
birti	gismu	bit			x_1 は x_2 （命題）が真であると確信している	確信 	{jetnu}, {jinvi}, {krici}, {djuno}, {senpi}, {sruma}
bisli	gismu	bis			x_1 は x_2 （成分）の氷／氷結物	氷 	{kunra}, {runme}, {lenku}, {krili}, {bratu}, {snime}, {carvi}
bitmu	gismu	bim	bi'u		x_1 は x_2 ・ x_3 を隔てる、 x_4 （構造体）の壁／垣／塀／フェンス	壁 	{jbini}, {sepli}, {fendi}, {canko}, {drudi}, {kumfa}, {loldi}, {senta}, {snuji}, {pagre}, {gacri}, {kuspe}, {marbi}, {vorme}
blabi	gismu	lab			x_1 は白色	白色 	{skari}, {xekri}, {grusi}, {kandi}, {manku}, {carmi}, {bakri}, {blanu}, {bunre}, {cicna}, {crino}, {narju}, {nukni}, {pelxu}, {xunre}, {zirpu}
blaci	gismu				x_1 は x_2 （成分）のガラス	ガラス 	{kabri}
blanu	gismu	bla			x_1 は青色	青色 	{skari}, {blabi}, {xekri}, {zirpu}, {kandi}, {carmi}, {cicna}
bliku	gismu	bli			x_1 は x_2 （素材）の立体物／塊／ブロック	塊 	{tapla}, {kubli}, {tanbo}, {canlu}, {kojna}, {sefta}, {bolci}, {kurfa}, {tarmi}
bloti	gismu	lot	blo	lo'i	x_1 は x_2 （客／荷）・ x_3 （原動力）の船／ボート	船 	{falnu}, {fulta}, {marce}, {jatna}, {sabnu}
bolci	gismu	bol	boi		x_1 は x_2 （素材）の球体／ボール；x_1 は丸い	球 	{bliku}, {cukla}, {bidju}, {gunro}
bongu	gismu	bog	bo'u		x_1 は x_2 （機能）・ x_3 （肉体）の骨	骨 	{greku}, {denci}, {jirna}, {sarji}
botpi	gismu	bot	bo'i		x_1 は x_2 （内容）・ x_3 （素材）・ x_4 （栓／蓋）の瓶／ボトル／水筒	閉じられる容器全般。 瓶 	{baktu}, {lante}, {patxu}, {tansi}, {tanxe}, {vasru}, {gacri}
boxfo	gismu	bof	bo'o		x_1 は材質 x_2 のシート状のもの；3次元空間内の、ほぼ2次元の柔軟な物体；枚	的確な日本語訳は存在しない。「枚」で数えられる形状のもの。「紙」「箔」「敷物」「毛布」「アルミホイル」「サランラップ」などの上位概念。 シーツ 	{plita}, {cinje}, {polje}, {slasi}, {tinci}
boxna	gismu	bon	bo'a		x_1 は x_2 （媒体）・ x_3 （波形）・ x_4 （波長）・ x_5 （周波数）の波／周期的形態	海の波も。 波 	{slilu}, {dikni}, {cinje}, {polje}, {morna}, {canre}
bradi	gismu				x_1 は x_2 の、 x_3 （抗争）における敵／敵対者／対抗者／相手／試合相手	敵 	{damba}, {jamna}, {darlu}, {pendo}, {fapro}, {gunta}, {sarji}, {jivna}, {jinga}
bratu	gismu				x_1 は x_2 （成分）のひょう／あられ／みぞれ	・大意： 雹 ・読み方： ブラトゥ・語呂合わせ： ぶらっと雹
brazo	gismu	raz			x_1 は x_2 （性質面）に関してブラジル系（言語／文化／民族／地理）	ブラジル 	{porto}, {ketco}
bredi	gismu	red	bre		x_1 は x_2 （事）に向けて準備できている／用意が整っている／覚悟している	準備 	{spaji}, {jukpa}
bridi	gismu	bri			x_1 （du'u）は x_2 （関係）を x_3 （項の列／集合）について賓述を表す関係性／命題	自然言語においては、 x2 を表すのが賓辞／述語、 x3 のうちの一つを表すのが主辞／主語。 命題 	{sumti}, {fancu}
brife	gismu	bif	bi'e		x_1 は x_2 （起源）・ x_3 （速度）の風；x_1 は x_2 から吹く；x_2 は x_1 を吹く	x2 は方角も。 風 	{tcima}
briju	gismu	bij			x_1 は x_2 （従業員）・ x_3 （所）の職場／事務所／営業所／局	職場 	{jibri}, {gunka}
brito	gismu	rit			x_1 は x_2 （性質面）に関して英国／イギリス系（言語／文化／民族／地理）	「イングランド」ではない。 英国 	{glico}, {skoto}, {merko}, {ropno}
broda	gismu	rod			代ブリディその1［x_1を始めとするPS全体が文脈次第］	{cei}を使って{selbri}を代入できる。 第一 selbri 変数 	{bu'a}, {bu'e}, {bu'i}
brode	gismu	bo'e			代ブリディその2［x_1を始めとするPS全体が文脈次第］	{cei} を使って {selbri} を代入できる。 第二 selbri 変数 	{bu'a}, {bu'e}, {bu'i}
brodi	gismu				代ブリディその3［x_1を始めとするPS全体が文脈次第］	{cei} を使って {selbri} を代入できる。 第三 selbri 変数 	{bu'a}, {bu'e}, {bu'i}
brodo	gismu				代ブリディその4［x_1を始めとするPS全体が文脈次第］	{cei} を使って {selbri} を代入できる。 第四 selbri 変数 	{bu'a}, {bu'e}, {bu'i}
brodu	gismu				代ブリディその5［x_1を始めとするPS全体が文脈次第］	{cei} を使って {selbri} を代入できる。 第五 selbri 変数 	{bu'a}, {bu'e}, {bu'i}
bruna	gismu	bun	bu'a		x_1 は x_2 の、 x_3 （血縁関係）による兄／弟	兄弟 	{mensi}, {tunba}, {tamne}, {famti}, {bersa}
budjo	gismu	buj	bu'o		x_1 は x_2 （性質面）に関して仏教系	・大意： 仏教 ・読み方： ブヂョ ・語呂合わせ： ＜武道上手＞,仏頂面
bukpu	gismu	buk	bu'u		x_1 は x_2 （素材／種類）の布／織物	布 	{mapni}, {matli}, {sunla}, {slasi}, {silka}
bumru	gismu	bum			x_1 は x_2 （液体成分）の霧／水蒸気／もや；x_1 は霧っぽい／もやもやしている／かすんでいる	霧 	{djacu}, {carvi}, {danmo}, {lunsa}, {tcima}, {gapci}
bunda	gismu	bud			x_1 は x_2 （数）・ x_3 （単位系）・ x_4 （下位単位）の非メートル法／土着の質量／貫／パウンド	質量（土着） 	{grake}, {junta}, {tilju}, {rupnu}, {fepni}, {dekpu}, {gutci}, {minli}, {merli}, {kramu}
bunre	gismu	bur	bu'e		x_1 は茶色／黄褐色／小麦色	茶色 	{skari}, {blabi}, {xekri}, {kandi}, {carmi}
burcu	gismu	bru			x_1 は x_2 （用途）・ x_3 （毛状物）のブラシ／はけ／モップ／毛筆	ブラシ 	{komcu}, {pinsi}
burna	gismu				x_1 は x_2 （状況）においてどぎまぎする／緊張する／落ち着かない／きまりの悪さを感じる／当惑する	「ckeji」と違い、恥ずかしさを含意しない。「xanka」と違い、未然／未知の事柄でなく現在知覚されている事柄にたいする心理的動揺を表す。 どぎまぎ 	{cinmo}
cabna	gismu	cab			x_1 は x_2 と同時；x_1 は現在／今	現在 	{zvati}, {balvi}, {purci}, {ca}, {ca'a}
cabra	gismu	ca'a			x_1 は x_2 （機能）・ x_3 （操縦者）の装置／デバイス	「minji」と違い、自動性が含意されない。 装置 	{tutci}, {minji}, {finti}; {girzu}, {ganzu}, {pilno}
cacra	gismu				x_1 の継続時間は x_2 （数）時間、 x_3 （基準）で；x_1 は x_2 （数）時間かかる	通常は「60分」。 時間 	{junla}, {mentu}, {snidu}, {tcika}, {temci}
cadzu	gismu	dzu			x_1 は x_2 （表面）を x_3 （肢）で歩く	歩く 	{stapa}, {bajra}, {klama}, {litru}
cafne	gismu	caf			x_1 （事）は x_2 （基準）において頻繁／しょっちゅう／頻発する／よくある	頻繁 	{rirci}, {fadni}, {kampu}, {rapli}, {krefu}, {lakne}, {piso'iroi}
cakla	gismu				x_1 は x_2 （種類）のチョコレート／ココア	チョコレート 	{ckafi}
calku	gismu	cak			x_1 は x_2 を覆う、 x_3 （成分）の殻	殻 	{pilka} (上位概念), {skapi}, {gacri}, {bartu}
canci	gismu				x_1 は x_2 （所／視界）から消える	眼やカメラ等の視覚媒体としてx3の追加も。「現れる」は「to'e/tol-」で対義化。 消える 	{cliva}, {ganse}, {zgana}, {lebna}, {vimcu}
cando	gismu	cad			x_1 は無動作／怠惰／怠けている／アイドリング状態	悲観的な意味合とは限らない。「暇」も。 怠惰 	{surla}
cange	gismu	cag			x_1 は x_2 （所）・ x_3 （責任者）・ x_4 （作物）の田畑／農場／農園／養殖場／飼育場／牧場	農場 	{purdi}, {nurma}, {ferti}, {foldi}, {xarju}
canja	gismu	caj			x_1 は x_2 （差し出す対象）を x_3 （受け取る対象）と、 x_4 と交換する；x_1 ・ x_4 は貿易業者／投機家／相場師／物々交換する者	x_1, x_4 として「所有権を交換する者」という sumti を引き出す（意味論的により厳密に言うなら {posycanja}）。 やりとりされる費用と価格の違いについては {jdima} の注を参照。 交換 	{dunda}, {friti}, {vecnu}, {zarci}, {jdini}, {pleji}, {jdima}, {jerna}, {kargu}; {jdima}, {banxa}, {cirko}, {dunda}, {janta}, {kargu}, {prali}, {sfasa}, {zivle}
canko	gismu	ca'o			x_1 は x_2 （壁／建物／構造）の窓／門／入口／出口／玄関	窓 	{vorme}, {bitmu}, {ganlo}, {murta}, {pagre}, {kevna}, {jvinu}, {kalri}, {kuspe}
canlu	gismu	cal	ca'u		x_1 は x_2 （内容）が占める空間（三次元的広がり）；x_2 は x_1 を占める	空間 	{kensa}, {bliku}, {kumfa}, {kevna}, {kunti}, {tubnu}, {dekpu}
canpa	gismu	cna			x_1 は x_2 （用途／掘る対象）のシャベル	シャベル 	{kakpa}, {guska}, {tutci}
canre	gismu	can			x_1 は x_2 （起源）・ x_3 （成分）の砂／砂利	「研磨剤」も。 砂 	{bidju}, {rokci}, {zalvi}, {boxna}
canti	gismu				x_1 は x_2 （本体）の消化器官／胃腸	消化器官 	{betfu}
carce	gismu				x_1 は x_2 （荷）を運ぶ、 x_3 （原動力）による荷車／小型運搬車／手押し車／農耕車／ショッピングカート	荷車 	{karce}, {xislu}, {marce}, {matra}
carmi	gismu	cam	cai		x_1 は x_2 （性質）に関して x_3 （観点）で激しい／強烈／激烈／猛烈／熱烈	「まぶしい」「まばゆい」「濃い」も。 激烈 	{denmi}, {gusni}, {kandi}, {ruble}, {skari}, {tilju}, {tsali}, {mutce}, {blabi}, {blanu}, {bunre}, {cicna}, {crino}, {grusi}, {narju}, {nukni}, {pelxu}, {xekri}, {xunre}, {zirpu}
carna	gismu	car			x_1 は x_2 （軸）・ x_3 （指向）で回る／回転／周回／旋回する	回る 	{gunro}, {jendu}
cartu	gismu	cat			x_1 は x_2 に関する、 x_3 （特性）の図表／見取り図／図式／地図／ダイヤグラム／グラフ／予定表	図表 	{platu}
carvi	gismu	cav			x_1 は x_2 （終点）に x_3 （始点）から降る／降り注ぐ；x_1 はシャワー状	或る総体から分離／分散して落ちること。 降る（ふる） 	{sicpi} (下位概念), {farlu} (上位概念), {bratu} (雹), {snime} (雪), {bumru} (霧), {tcima} (気象), {dilnu} (雲), {santa} (傘)
casnu	gismu	snu			x_1 （群）は x_2 （題目）について話し合う／検討／討議／論議／談議／談合する	話し合う 	{bacru}, {cusku}, {darlu}, {tavla}
catke	gismu	ca'e			x_1 は x_2 （対象本体）・ x_3 （対象箇所）を押す	押す 	{danre}, {lacpu}
catlu	gismu	cta			x_1 は x_2 を見る／見つめる／見入る	「見極める」も。 見る 	{jvinu}, {minra}, {simlu}, {viska}, {lanli}, {zgana}, {setca}
catni	gismu	ca'i			x_1 は x_2 （事項／領域／者）にたいして x_3 （基盤）による権威／権限を有する；x_1 は公務員／役人／政府高官	権威 	{turni}, {tutra}, {krati}, {ca'i}, {jaspu}, {pulji}
catra	gismu				x_1 は x_2 を x_3 （動作／方法）で殺す	殺す 	{morsi}, {xarci}
caxno	gismu	cax			x_1 は x_2 （方向／性質）に関して x_3 （照合枠）・ x_4 （基準）で浅い／浅はか／薄い	浅い 	{condi}, {tordu}, {jarki}, {cinla}, {cmalu}, {jarki}, {jmifa}
cecla	gismu	cel	ce'a		x_1 は x_2 を x_3 （原動力）で発射する;	「銃」「大砲」「ミサイル」など。 発射する 	{renro}, {danti}, {jakne}, {jbama}, {spoja}
cecmu	gismu	cem	ce'u		x_1 は x_2 （有機体）の共同体／社会／コミュニティ／群落／集団営巣地／植民地	共同体 	{bende}, {kulnu}, {natmi}, {tcadu}, {jecta}, {girzu}
cedra	gismu				x_1 は x_2 （事／物／性質／間隔）を特徴とする時代／時期／年代	時代 	{ranji}, {temci}, {citsi}
cenba	gismu	cne			x_1 は x_2 （性質）に関して x_3 （数量／度合）ほど x_4 （環境条件）において変化／変質／変身する／変わる		{cenba}, {galfi}, {stika}; {stodi}, {zasni}, {binxo}
censa	gismu	ces			x_1 は x_2 （者／文化／宗教／グループ）にとって神聖／冒すことができない；x_2 は x_1 を神聖視する	聖なる 	{cevni}, {krici}, {latna}, {pruxi}, {lijda}, {sinma}
centi	gismu	cen			x_1 は x_2 の、 x_3 （性質）におけるセンチ／百分の一 ［1 x_1 0**-2］	センチ 	{grake}, {mitre}, {snidu}, {stero}, {delno}, {molro}, {kelvo}, {xampo}, {gradu}, {litce}, {merli}, {decti}, {dekto}, {femti}, {gigdo}, {gocti}, {gotro}, {kilto}, {megdo}, {mikri}, {milti}, {nanvi}, {petso}, {picti}, {terto}, {xatsi}, {xecto}, {xexso}, {zepti}, {zetro}
cerda	gismu	ced			x_1 は x_2 （物／性質）を x_3 から、 x_4 （原則）によって継承／相続する／受け継ぐ；x_1 は継承者／相続人	継承 	{jgina}
cerni	gismu	cer			x_1 は x_2 （日）・ x_3 （所）の朝	「lo blotcana cu te cerni .i nu jvinu lo lunra／港は朝月のある風景」（山頭火『行乞記（二）』） 朝 	{vanci}, {murse}, {tcika}
certu	gismu	cre			x_1 は x_2 （事／行為）の、 x_3 （基準）における玄人／達人／プロ／ベテラン	玄人 	{djuno}, {stati}, {kakne}
cevni	gismu	cev	cei		x_1 は x_2 （者／宗教）の、 x_3 （領域）をつかさどる神／神性／仏；x_2 は x_1 を崇拝する／崇める；x_1 は神がかり	神 	{censa}, {krici}, {lijda}, {malsi}
cfari	gismu	cfa			x_1 （事／状態）は始まる／開始する	他動の「始める」は「cfari gasnu」から「cfagau」。 始まる 	{sisti}, {krasi}, {fanmo}
cfika	gismu	fik	fi'a		x_1 は x_2 （内容）・ x_3 （著者）のフィクション作品	「小説」「映画」「マンガ」など。 x2 はテーマ／プロット／ジャンルなども。 フィクション 	{cukta}, {lisri}, {prosa}, {fatci}, {jitfa}, {jetnu}, {xanri}
cfila	gismu	cfi			x_1 （性質）は x_2 の、 x_3 （問題／厄介／危険）をもたらす欠陥／欠点／弱点／不備／短所／落度／過失	欠陥 	{cikre}, {srera}, {fenra}, {fliba}, {prane}
cfine	gismu				x_1 は角柱／くさび形	角柱 	{tutci}
cfipu	gismu	fi'u			x_1 （事）は x_2 （観者）にとって x_3 （性質）の点で紛らわしい／混乱をまねく	紛らわしい 	{pluja}, {zunti}
ciblu	gismu	blu			x_1 は x_2 （生体）の血／血液	血 	{risna}, {flecu}
cicna	gismu				x_1 は青緑色／シアン／ターコイズ	シアン色 	{skari}, {blabi}, {xekri}, {kandi}, {carmi}, {crino}, {blanu}
cidja	gismu	dja			x_1 は x_2 （摂食者）のための食べ物／食糧／餌；x_1 は x_2 に栄養価を与える；x_1 は食用	食物 	{citka}, {nitcu}, {pinxe}, {xagji}, {cpina}
cidni	gismu	cid			x_1 は x_2 （肢）・ x_3 （本体）の関節（膝／肘／腰／手首／足首）	関節 	{cnebo} (首；下位概念), {korcu}, {jarco}, {jganu}
cidro	gismu	dro			x_1 は水素（H）	水素 	{gapci}, {xukmi}
cifnu	gismu	cif			x_1 は x_2 （生物種）の幼児／赤ちゃん	「fi'o cifnu cismyku'o ku co'a tavla／幼い靨で話しかけるよ」（山頭火『行乞記（二）』） 幼児 	{makcu}, {verba}
cigla	gismu	cig			x_1 は x_2 （分泌物）・ x_3 （本体）の分泌腺；x_1 は x_2 を分泌する	分泌 	{vikmi}, {xasne}
cikna	gismu	cik			x_1 は目覚めている	「しらふ」「抜け目がない」も。 目覚め 	{sanji}, {sipna}, {tatpi}
